MoleculeType	Identifier	MoleculeName	
Chemical Compounds	76591	(25R)-cholest-5-ene-3beta,26-diol [ChEBI:76591]	
Chemical Compounds	30616	ATP(4-) [ChEBI:30616]	
Chemical Compounds	50114	estrogen [ChEBI:50114]	
Chemical Compounds	15377	water [ChEBI:15377]	
Chemical Compounds	7896	hexadecanoate [ChEBI:7896]	
Chemical Compounds	456216	ADP(3-) [ChEBI:456216]	
Chemical Compounds	57379	palmitoyl-CoA(4-) [ChEBI:57379]	
Chemical Compounds	57287	coenzyme A(4-) [ChEBI:57287]	
Chemical Compounds	58189	GDP(3-) [ChEBI:58189]	
Chemical Compounds	57836	1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-) [ChEBI:57836]	
Chemical Compounds	37565	GTP(4-) [ChEBI:37565]	
Chemical Compounds	17552	GDP [ChEBI:17552]	
Chemical Compounds	29108	calcium(2+) [ChEBI:29108]	
Chemical Compounds	17627	ferroheme b [ChEBI:17627]	
Chemical Compounds	29105	zinc(2+) [ChEBI:29105]	
Chemical Compounds	58210	FMN(3-) [ChEBI:58210]	
Chemical Compounds	57692	FAD(3-) [ChEBI:57692]	
Chemical Compounds	15372	5,6,7,8-tetrahydrobiopterin [ChEBI:15372]	
Chemical Compounds	57783	NADPH(4-) [ChEBI:57783]	
Chemical Compounds	15379	dioxygen [ChEBI:15379]	
Chemical Compounds	32682	L-argininium(1+) [ChEBI:32682]	
Chemical Compounds	57743	L-citrulline zwitterion [ChEBI:57743]	
Chemical Compounds	58349	NADP(3-) [ChEBI:58349]	
Chemical Compounds	16480	nitric oxide [ChEBI:16480]	
Chemical Compounds	25682	N(omega),N'(omega)-dimethyl-L-arginine [ChEBI:25682]	
Chemical Compounds	60119	sphingosine 1-phosphate(1-) [ChEBI:60119]	
Chemical Compounds	57756	sphingosine(1+) [ChEBI:57756]	
Chemical Compounds	15414	S-adenosyl-L-methionine [ChEBI:15414]	
Chemical Compounds	57856	S-adenosyl-L-homocysteine zwitterion [ChEBI:57856]	
Chemical Compounds	43474	hydrogenphosphate [ChEBI:43474]	
Chemical Compounds	17026	progesterone [ChEBI:17026]	
Chemical Compounds	142773	estetrol [ChEBI:142773]	
Chemical Compounds	17263	estrone [ChEBI:17263]	
Chemical Compounds	16469	17beta-estradiol [ChEBI:16469]	
Chemical Compounds	27974	estriol [ChEBI:27974]	
Proteins	Q92731	UniProt:Q92731 ESR2	
Proteins	P03372	UniProt:P03372 ESR1	
Proteins	P08238	UniProt:P08238 HSP90AB1	
Proteins	P07900	UniProt:P07900 HSP90AA1	
Proteins	Q15185	UniProt:Q15185 PTGES3	
Proteins	Q02790	UniProt:Q02790 FKBP4	
Proteins	P53041	UniProt:P53041 PPP5C	
Proteins	Q13451	UniProt:Q13451 FKBP5	
Proteins	Q08752	UniProt:Q08752 PPID	
Proteins	O43815	UniProt:O43815 STRN	
Proteins	P03372-4	UniProt:P03372-4 ESR1	
Proteins	P03372-3	UniProt:P03372-3 ESR1	
Proteins	P51636	UniProt:P51636 CAV2	
Proteins	Q03135	UniProt:Q03135 CAV1	
Proteins	P31751	UniProt:P31751 AKT2	
Proteins	Q9Y243	UniProt:Q9Y243 AKT3	
Proteins	P31749	UniProt:P31749 AKT1	
Proteins	P16220	UniProt:P16220 CREB1	
Proteins	P11831	UniProt:P11831 SRF	
Proteins	P19419	UniProt:P19419 ELK1	
Proteins	Q8TAS1	UniProt:Q8TAS1 UHMK1	
Proteins	P46527	UniProt:P46527 CDKN1B	
Proteins	P28482	UniProt:P28482 MAPK1	
Proteins	P27361	UniProt:P27361 MAPK3	
Proteins	P24385	UniProt:P24385 CCND1	
Proteins	P01100	UniProt:P01100 FOS	
Proteins	Q05397	UniProt:Q05397 PTK2	
Proteins	Q99075	UniProt:Q99075 HBEGF	
Proteins	O14944	UniProt:O14944 EREG	
Proteins	P01133	UniProt:P01133 EGF	
Proteins	P01135	UniProt:P01135 TGFA	
Proteins	Q6UW88	UniProt:Q6UW88 EPGN	
Proteins	P35070	UniProt:P35070 BTC	
Proteins	P15514	UniProt:P15514 AREG	
Proteins	P00533	UniProt:P00533 EGFR	
Proteins	O14980	UniProt:O14980 XPO1	
Proteins	O43524	UniProt:O43524 FOXO3	
Proteins	P10415	UniProt:P10415 BCL2	
Proteins	Q9NXF8	UniProt:Q9NXF8 ZDHHC7	
Proteins	Q8IVQ6	UniProt:Q8IVQ6 ZDHHC21	
Proteins	P04792	UniProt:P04792 HSPB1	
Proteins	P01116-2	UniProt:P01116-2 KRAS	
Proteins	P01111	UniProt:P01111 NRAS	
Proteins	P01116-1	UniProt:P01116-1 KRAS	
Proteins	P01112	UniProt:P01112 HRAS	
Proteins	Q05513	UniProt:Q05513 PRKCZ	
Proteins	O15530	UniProt:O15530 PDPK1	
Proteins	P12931	UniProt:P12931 SRC	
Proteins	P42336	UniProt:P42336 PIK3CA	
Proteins	Q92569	UniProt:Q92569 PIK3R3	
Proteins	O00459	UniProt:O00459 PIK3R2	
Proteins	P27986	UniProt:P27986 PIK3R1	
Proteins	P62879	UniProt:P62879 GNB2	
Proteins	Q9HAV0	UniProt:Q9HAV0 GNB4	
Proteins	O14775	UniProt:O14775 GNB5	
Proteins	P16520	UniProt:P16520 GNB3	
Proteins	P62873	UniProt:P62873 GNB1	
Proteins	Q9UK08	UniProt:Q9UK08 GNG8	
Proteins	O14610	UniProt:O14610 GNGT2	
Proteins	P63211	UniProt:P63211 GNGT1	
Proteins	O60262	UniProt:O60262 GNG7	
Proteins	Q9P2W3	UniProt:Q9P2W3 GNG13	
Proteins	P63215	UniProt:P63215 GNG3	
Proteins	P50151	UniProt:P50151 GNG10	
Proteins	P61952	UniProt:P61952 GNG11	
Proteins	P50150	UniProt:P50150 GNG4	
Proteins	P63218	UniProt:P63218 GNG5	
Proteins	Q9UBI6	UniProt:Q9UBI6 GNG12	
Proteins	P59768	UniProt:P59768 GNG2	
Proteins	P08754	UniProt:P08754 GNAI3	
Proteins	P63096	UniProt:P63096 GNAI1	
Proteins	P04899	UniProt:P04899 GNAI2	
Proteins	A8MTJ3	UniProt:A8MTJ3 GNAT3	
Proteins	P0DP23	UniProt:P0DP23 CALM1	
Proteins	P29474	UniProt:P29474 NOS3	
Proteins	P08069	UniProt:P08069 IGF1R	
Proteins	P29353-2	UniProt:P29353-2 SHC1	
Proteins	P29353-1	UniProt:P29353-1 SHC1	
Proteins	P29353-3	UniProt:P29353-3 SHC1	
Proteins	Q99500	UniProt:Q99500 S1PR3	
Proteins	Q9NYA1	UniProt:Q9NYA1 SPHK1	
Proteins	Q99873	UniProt:Q99873 PRMT1	
Proteins	P08253	UniProt:P08253 MMP2	
Proteins	P14780	UniProt:P14780 MMP9	
Proteins	P09237	UniProt:P09237 MMP7	
Proteins	P08254	UniProt:P08254 MMP3	
Proteins	Q4ZG55	UniProt:Q4ZG55 GREB1	
Proteins	Q09472	UniProt:Q09472 EP300	
Proteins	Q92793	UniProt:Q92793 CREBBP	
Proteins	Q99879	UniProt:Q99879 H2BC14	
Proteins	Q96A08	UniProt:Q96A08 H2BC1	
Proteins	P58876	UniProt:P58876 H2BC5	
Proteins	Q93079	UniProt:Q93079 H2BC9	
Proteins	Q16778	UniProt:Q16778 H2BC21	
Proteins	P23527	UniProt:P23527 H2BC17	
Proteins	P57053	UniProt:P57053 H2BC12L	
Proteins	Q99877	UniProt:Q99877 H2BC15	
Proteins	P62807	UniProt:P62807 H2BC4	
Proteins	P06899	UniProt:P06899 H2BC11	
Proteins	P33778	UniProt:P33778 H2BC3	
Proteins	O60814	UniProt:O60814 H2BC12	
Proteins	Q99880	UniProt:Q99880 H2BC13	
Proteins	Q8N257	UniProt:Q8N257 H2BU1	
Proteins	Q93077	UniProt:Q93077 H2AC6	
Proteins	P84243	UniProt:P84243 H3-3A	
Proteins	P68431	UniProt:P68431 H3C1	
Proteins	Q71DI3	UniProt:Q71DI3 H3C15	
Proteins	P62805	UniProt:P62805 H4C1	
Proteins	P06401	UniProt:P06401 PGR	
Proteins	Q15303-1	UniProt:Q15303-1 ERBB4	
Proteins	Q15303-3	UniProt:Q15303-3 ERBB4	
Proteins	P15336	UniProt:P15336 ATF2	
Proteins	P05412	UniProt:P05412 JUN	
Proteins	P55317	UniProt:P55317 FOXA1	
Proteins	P0C5Y9	UniProt:P0C5Y9 H2AB1	
Proteins	Q71UI9	UniProt:Q71UI9 H2AZ2	
Proteins	P0C0S5	UniProt:P0C0S5 H2AZ1	
Proteins	P20671	UniProt:P20671 H2AC7	
Proteins	P16104	UniProt:P16104 H2AX	
Proteins	Q9BTM1	UniProt:Q9BTM1 H2AJ	
Proteins	Q16777	UniProt:Q16777 H2AC20	
Proteins	P04908	UniProt:P04908 H2AC4	
Proteins	Q6FI13	UniProt:Q6FI13 H2AC18	
Proteins	Q99878	UniProt:Q99878 H2AC14	
Proteins	P23771	UniProt:P23771 GATA3	
Proteins	P14859	UniProt:P14859 POU2F1	
Proteins	P22415	UniProt:P22415 USF1	
Proteins	Q15853	UniProt:Q15853 USF2	
Proteins	P08047	UniProt:P08047 SP1	
Proteins	Q15788	UniProt:Q15788 NCOA1	
Proteins	Q15596	UniProt:Q15596 NCOA2	
Proteins	Q9Y6Q9	UniProt:Q9Y6Q9 NCOA3	
Proteins	Q15648	UniProt:Q15648 MED1	
Proteins	O75362	UniProt:O75362 ZNF217	
Proteins	O00482	UniProt:O00482 NR5A2	
Proteins	O15169	UniProt:O15169 AXIN1	
Proteins	Q13951	UniProt:Q13951 CBFB	
Proteins	Q01196	UniProt:Q01196 RUNX1	
Proteins	O94953	UniProt:O94953 KDM4B	
Proteins	Q9UL18	UniProt:Q9UL18 AGO1	
Proteins	Q9HCK5	UniProt:Q9HCK5 AGO4	
Proteins	Q9H9G7	UniProt:Q9H9G7 AGO3	
Proteins	Q8NDV7	UniProt:Q8NDV7 TNRC6A	
Proteins	Q9UPQ9	UniProt:Q9UPQ9 TNRC6B	
Proteins	Q9HCJ0	UniProt:Q9HCJ0 TNRC6C	
Proteins	Q9HCE1	UniProt:Q9HCE1 MOV10	
Proteins	Q9UKV8	UniProt:Q9UKV8 AGO2	
Proteins	P48061	UniProt:P48061 CXCL12	
Proteins	P48552	UniProt:P48552 NRIP1	
Proteins	Q04726	UniProt:Q04726 TLE3	
Proteins	Q7LFL8	UniProt:Q7LFL8 CXXC5	
Proteins	Q14678	UniProt:Q14678 KANK1	
Proteins	P19388	UniProt:P19388 POLR2E	
Proteins	P62875	UniProt:P62875 POLR2L	
Proteins	P61218	UniProt:P61218 POLR2F	
Proteins	P52434	UniProt:P52434 POLR2H	
Proteins	P36954	UniProt:P36954 POLR2I	
Proteins	P52435	UniProt:P52435 POLR2J	
Proteins	P24928	UniProt:P24928 POLR2A	
Proteins	P30876	UniProt:P30876 POLR2B	
Proteins	P53803	UniProt:P53803 POLR2K	
Proteins	P19387	UniProt:P19387 POLR2C	
Proteins	O15514	UniProt:O15514 POLR2D	
Proteins	P62487	UniProt:P62487 POLR2G	
Proteins	P35269	UniProt:P35269 GTF2F1	
Proteins	P13984	UniProt:P13984 GTF2F2	
Proteins	P50750	UniProt:P50750 CDK9	
Proteins	O60563	UniProt:O60563 CCNT1	
Proteins	O14646	UniProt:O14646 CHD1	
Proteins	Q8NC69	UniProt:Q8NC69 KCTD6	
Proteins	Q9HCL2	UniProt:Q9HCL2 GPAM	
Proteins	Q99966	UniProt:Q99966 CITED1	
Proteins	P25490	UniProt:P25490 YY1	
Proteins	Q13547	UniProt:Q13547 HDAC1	
Proteins	O60341	UniProt:O60341 KDM1A	
Proteins	P53539	UniProt:P53539 FOSB	
Proteins	P17535	UniProt:P17535 JUND	
Proteins	O60216	UniProt:O60216 RAD21	
Proteins	Q14683	UniProt:Q14683 SMC1A	
Proteins	Q9UQE7	UniProt:Q9UQE7 SMC3	
Proteins	Q8N3U4	UniProt:Q8N3U4 STAG2	
Proteins	Q8WVM7	UniProt:Q8WVM7 STAG1	
Proteins	P01106	UniProt:P01106 MYC	
Proteins	P10242	UniProt:P10242 MYB	
Proteins	P17844	UniProt:P17844 DDX5	
Proteins	Q07654	UniProt:Q07654 TFF3	
Proteins	O00559	UniProt:O00559 EBAG9	
Proteins	P52292	UniProt:P52292 KPNA2	
Proteins	P07339	UniProt:P07339 CTSD	
Proteins	P20226	UniProt:P20226 TBP	
Proteins	P52655	UniProt:P52655 GTF2A1	
Proteins	P52657	UniProt:P52657 GTF2A2	
Proteins	P04155	UniProt:P04155 TFF1	
Proteins	Q86X55	UniProt:Q86X55 CARM1	
