# GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_bonferroni,p_sidak,p_holm,p_fdr_bh,study_items
GO:1902600,BP,e,proton transmembrane transport,22/500,39/4382,9.329131150538127e-12,8,22,1.0872169442837136e-07,1.0598065009107092e-07,1.0872169442837136e-07,1.0872169442837136e-07,"476, 523, 537, 1337, 1340, 1345, 1346, 1347, 1349, 1350, 1355, 4697, 5250, 6834, 9016, 9167, 9197, 9296, 9377, 10312, 27032, 374291"
GO:0098662,BP,e,inorganic cation transmembrane transport,33/500,108/4382,4.612505524331667e-08,7,33,0.0005375413938056125,0.0005239891326740848,0.0005373568935846391,8.993081854766114e-05,"476, 493, 523, 537, 1317, 1337, 1340, 1345, 1346, 1347, 1349, 1350, 1355, 2280, 3775, 4697, 5250, 6363, 6558, 6834, 7991, 9016, 9167, 9197, 9296, 9377, 10312, 10723, 10730, 27032, 57130, 79714, 374291"
GO:0070126,BP,e,mitochondrial translational termination,19/500,47/4382,2.8535835252115434e-07,8,19,0.003325566240281533,0.0032417235025540897,0.0033212858649937158,0.0002078478900175958,"740, 6150, 10573, 10884, 26284, 26589, 29088, 29093, 51069, 51073, 51642, 54148, 54948, 55052, 55168, 63875, 64976, 65005, 79590"
GO:0019646,BP,e,aerobic electron transport chain,9/500,12/4382,4.915466066421514e-07,7,9,0.005728484153807632,0.005584060088917303,0.005720127861494716,0.0003014991659898754,"1337, 1340, 1345, 1349, 1350, 1355, 4697, 9167, 9377"
GO:0006123,BP,e,"mitochondrial electron transport, cytochrome c to oxygen",9/500,12/4382,4.915466066421514e-07,8,9,0.005728484153807632,0.005584060088917303,0.005720127861494716,0.0003014991659898754,"1337, 1340, 1345, 1349, 1350, 1355, 4697, 9167, 9377"
GO:0070125,BP,e,mitochondrial translational elongation,19/500,49/4382,6.188448599001167e-07,7,19,0.007212017997275959,0.007030191718759247,0.007200259944937858,0.0003606008998637981,"740, 6150, 10573, 10884, 26284, 26589, 29088, 29093, 51069, 51073, 51642, 54148, 54948, 55052, 55168, 63875, 64976, 65005, 79590"
GO:0098655,BP,e,cation transmembrane transport,33/500,120/4382,1.1166504993116744e-06,6,33,0.01301344491897825,0.012685355574055129,0.012991111908992015,0.0005842039067147343,"476, 493, 523, 537, 1317, 1337, 1340, 1345, 1346, 1347, 1349, 1350, 1355, 2280, 3775, 4697, 5250, 6363, 6558, 6834, 7991, 9016, 9167, 9197, 9296, 9377, 10312, 10723, 10730, 27032, 57130, 79714, 374291"
GO:0098660,BP,e,inorganic ion transmembrane transport,33/500,120/4382,1.1166504993116744e-06,6,33,0.01301344491897825,0.012685355574055129,0.012991111908992015,0.0005842039067147343,"476, 493, 523, 537, 1317, 1337, 1340, 1345, 1346, 1347, 1349, 1350, 1355, 2280, 3775, 4697, 5250, 6363, 6558, 6834, 7991, 9016, 9167, 9197, 9296, 9377, 10312, 10723, 10730, 27032, 57130, 79714, 374291"
GO:0006415,BP,e,translational termination,19/500,51/4382,1.276211074045569e-06,7,19,0.014872963856927062,0.014497993124790776,0.014843611002224012,0.0006197068273719608,"740, 6150, 10573, 10884, 26284, 26589, 29088, 29093, 51069, 51073, 51642, 54148, 54948, 55052, 55168, 63875, 64976, 65005, 79590"
GO:1902287,BP,e,semaphorin-plexin signaling pathway involved in axon guidance,6/500,6/4382,2.148800868872908e-06,8,6,0.02504212532584487,0.02441077409296285,0.02499055410499192,0.0009730012696273912,"5361, 5364, 6405, 10154, 23129, 23654"
GO:0006414,BP,e,translational elongation,20/500,58/4382,2.7552996746520426e-06,6,20,0.0321102624083949,0.03130071236038909,0.03203862461685395,0.0011892689780887,"740, 1984, 6150, 10573, 10884, 26284, 26589, 29088, 29093, 51069, 51073, 51642, 54148, 54948, 55052, 55168, 63875, 64976, 65005, 79590"
GO:0009060,BP,e,aerobic respiration,13/500,30/4382,9.095132548187377e-06,6,13,0.10599467471657567,0.10332238282080064,0.10570363047503367,0.0032119598398962328,"1337, 1340, 1345, 1349, 1350, 1355, 4697, 6391, 6834, 9016, 9167, 9377, 374291"
GO:0043624,BP,e,cellular protein complex disassembly,21/500,68/4382,1.1364644254296968e-05,6,21,0.13244356413957686,0.12910445428293416,0.13205716623493075,0.003784101832559339,"740, 5195, 6150, 8867, 10573, 10884, 26284, 26589, 29088, 29093, 51069, 51073, 51642, 54148, 54948, 55052, 55168, 63875, 64976, 65005, 79590"
GO:1902285,BP,e,semaphorin-plexin signaling pathway involved in neuron projection guidance,6/500,7/4382,1.358615686464481e-05,7,6,0.15833307210057065,0.15434124716654535,0.1578439704534434,0.004279272218934341,"5361, 5364, 6405, 10154, 23129, 23654"
GO:0034220,BP,e,ion transmembrane transport,46/500,223/4382,4.913944964332478e-05,5,46,0.5726711461433069,0.558233208889619,0.5703124525604274,0.011687166247822593,"360, 476, 493, 523, 537, 1317, 1337, 1340, 1345, 1346, 1347, 1349, 1350, 1355, 2030, 2280, 3775, 3927, 4697, 5195, 5205, 5250, 5825, 6363, 6558, 6834, 7417, 7531, 7991, 9016, 9167, 9197, 9296, 9377, 10312, 10723, 10730, 11046, 11230, 23169, 27032, 29103, 57130, 79714, 81539, 374291"
GO:0045333,BP,e,cellular respiration,13/500,35/4382,6.525866993816887e-05,5,13,0.76052453945942,0.7413505237008938,0.7573268646324497,0.0152104907891884,"1337, 1340, 1345, 1349, 1350, 1355, 4697, 6391, 6834, 9016, 9167, 9377, 374291"
GO:0000075,BP,e,cell cycle checkpoint,15/500,46/4382,0.00010322644306734166,6,15,1.0,1.0,1.0,0.021466654633019718,"3550, 5546, 5810, 5884, 7465, 7756, 9319, 9656, 11073, 11130, 25896, 51347, 55159, 65123, 80254"
GO:0006488,BP,e,dolichol-linked oligosaccharide biosynthetic process,5/500,6/4382,0.00010325964902578716,6,5,1.0,1.0,1.0,0.021466654633019718,"9526, 10195, 29929, 79053, 79796"
GO:0006490,BP,e,oligosaccharide-lipid intermediate biosynthetic process,5/500,6/4382,0.00010325964902578716,5,5,1.0,1.0,1.0,0.021466654633019718,"9526, 10195, 29929, 79053, 79796"
GO:0006812,BP,e,cation transport,37/500,172/4382,0.00011307616967675463,5,37,1.0,1.0,1.0,0.022720511748498252,"476, 493, 523, 537, 1317, 1337, 1340, 1345, 1346, 1347, 1349, 1350, 1355, 2258, 2280, 3775, 4697, 5250, 6352, 6363, 6558, 6834, 7991, 9016, 9167, 9197, 9296, 9377, 10312, 10723, 10730, 10916, 27032, 57130, 79714, 81539, 374291"
GO:0071901,BP,e,negative regulation of protein serine/threonine kinase activity,18/500,62/4382,0.00011889293321597856,11,18,1.0,1.0,1.0,0.0230929707283169,"1028, 1031, 1845, 1846, 1847, 1848, 2810, 2873, 4763, 5580, 5728, 5997, 10252, 10519, 11142, 11221, 23636, 29108"
GO:0043409,BP,e,negative regulation of MAPK cascade,18/500,63/4382,0.000149193352546461,8,18,1.0,1.0,1.0,0.027598402072642168,"1605, 1845, 1846, 1847, 1848, 2192, 2873, 4609, 4763, 5580, 5728, 5997, 10048, 10252, 11221, 23636, 51347, 57447"
GO:0015980,BP,e,energy derivation by oxidation of organic compounds,18/500,65/4382,0.00023065880691750792,4,18,1.0,1.0,1.0,0.04135534978179442,"1337, 1340, 1345, 1349, 1350, 1355, 2548, 2778, 4609, 4697, 5261, 6391, 6834, 9016, 9167, 9377, 51294, 374291"
GO:0006486,BP,e,protein glycosylation,17/500,61/4382,0.0003155937118785977,7,17,1.0,1.0,1.0,0.05254184454618825,"3703, 4247, 6184, 6185, 7991, 10195, 10610, 11226, 11282, 26229, 29880, 29929, 55568, 55624, 56913, 79053, 79796"
GO:0043413,BP,e,macromolecule glycosylation,17/500,61/4382,0.0003155937118785977,5,17,1.0,1.0,1.0,0.05254184454618825,"3703, 4247, 6184, 6185, 7991, 10195, 10610, 11226, 11282, 26229, 29880, 29929, 55568, 55624, 56913, 79053, 79796"
